coin	denomination	year	mint	yearGrouping	mintGrouping	metal	percentage
Liberty Head, No Motto Above Eagle	Eagle	1855	San Francisco			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1855	San Francisco			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1856	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1856	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1856	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1856	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1856	San Francisco			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1856	San Francisco			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1857	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1857	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1857	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1857	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1857	San Francisco			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1857	San Francisco			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1858	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1858	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1858	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1858	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1858	San Francisco			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1858	San Francisco			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1859	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1859	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1859	New Orleans			Gold	90.00000
