Liberty Head|Double Eagle|1894|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||1368940|50|1|0
Liberty Head|Double Eagle|1895|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||1114605|51|1|0
Liberty Head|Double Eagle|1895|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1143500|0|1|0
Liberty Head|Double Eagle|1896|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||792535|128|1|0
Liberty Head|Double Eagle|1896|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1403925|0|1|0
Liberty Head|Double Eagle|1897|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||1383175|86|1|0
Liberty Head|Double Eagle|1897|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1470250|0|1|0
Liberty Head|Double Eagle|1898|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||2575175|0|1|0
Liberty Head|Double Eagle|1898|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||170395|75|1|0
Liberty Head|Double Eagle|1899|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||1669300|84|1|0
Liberty Head|Double Eagle|1899|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||2010300|0|1|0
Liberty Head|Double Eagle|1900|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||1874460|124|1|0
Liberty Head|Double Eagle|1900|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||2459500|0|1|0
Liberty Head|Double Eagle|1901|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||111430|96|1|0
Liberty Head|Double Eagle|1901|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1596000|0|1|0
Liberty Head|Double Eagle|1902|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1753625|0|1|0
Liberty Head|Double Eagle|1902|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||31140|114|1|0
Liberty Head|Double Eagle|1903|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||287270|158|1|0
Liberty Head|Double Eagle|1903|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||954000|0|1|0
Liberty Head|Double Eagle|1904|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||6256699|98|1|0
Liberty Head|Double Eagle|1904|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||5134175|0|1|0
Liberty Head|Double Eagle|1905|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||58919|92|1|0
Liberty Head|Double Eagle|1905|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1813000|0|1|0
Liberty Head|Double Eagle|1906|Motto Above Eagle - Value TWENTY DOLLARS|Denver|D||620250|0|1|0
Liberty Head|Double Eagle|1906|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||2065750|0|1|0
Liberty Head|Double Eagle|1906|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||69596|94|1|0
Liberty Head|Double Eagle|1907|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||1451786|78|1|0
Liberty Head|Double Eagle|1907|Motto Above Eagle - Value TWENTY DOLLARS|Denver|D||842250|0|1|0
Liberty Head|Double Eagle|1907|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||2165800|0|1|0
Saint-Gaudens|Double Eagle|1907|Without Motto IN GOD WE TRUST|Philadelphia|P|High Relief|12367|0|1|0
Saint-Gaudens|Double Eagle|1907|Arabic Numerals, No Motto|Philadelphia|P||391667|0|1|0
Saint-Gaudens|Double Eagle|1908|Arabic Numerals, No Motto|Philadelphia|P|With Motto|156258|101|1|0
Saint-Gaudens|Double Eagle|1908|Arabic Numerals, No Motto|Denver|D|With Motto|349500|0|1|0
Saint-Gaudens|Double Eagle|1908|Arabic Numerals, No Motto|San Francisco|S|With Motto|22000|0|1|0
Saint-Gaudens|Double Eagle|1908|Arabic Numerals, No Motto|Philadelphia|P||4271551|0|1|0
Saint-Gaudens|Double Eagle|1908|Arabic Numerals, No Motto|Denver|D||663750|0|1|0
Saint-Gaudens|Double Eagle|1909|Arabic Numerals, No Motto|Philadelphia|P|9 Over 8|0|0|1|0
Saint-Gaudens|Double Eagle|1909|Arabic Numerals, No Motto|Philadelphia|P||161282|67|1|0
Saint-Gaudens|Double Eagle|1909|Arabic Numerals, No Motto|Denver|D||52500|0|1|0
Saint-Gaudens|Double Eagle|1909|Arabic Numerals, No Motto|San Francisco|S||2774925|0|1|0
Saint-Gaudens|Double Eagle|1910|Arabic Numerals, No Motto|Denver|D||429000|0|1|0
Saint-Gaudens|Double Eagle|1910|Arabic Numerals, No Motto|San Francisco|S||2128250|0|1|0
Saint-Gaudens|Double Eagle|1910|Arabic Numerals, No Motto|Philadelphia|P||482000|167|1|0
Saint-Gaudens|Double Eagle|1911|Arabic Numerals, No Motto|Philadelphia|P||197250|100|1|0
Saint-Gaudens|Double Eagle|1911|Arabic Numerals, No Motto|Denver|D||846500|0|1|0
Saint-Gaudens|Double Eagle|1911|Arabic Numerals, No Motto|San Francisco|S||775750|0|1|0
Saint-Gaudens|Double Eagle|1912|Arabic Numerals, No Motto|Philadelphia|P||149750|74|1|0
Saint-Gaudens|Double Eagle|1913|Arabic Numerals, No Motto|San Francisco|S||34000|0|1|0
Saint-Gaudens|Double Eagle|1913|Arabic Numerals, No Motto|Philadelphia|P||168780|58|1|0
Saint-Gaudens|Double Eagle|1913|Arabic Numerals, No Motto|Denver|D||393500|0|1|0
Saint-Gaudens|Double Eagle|1914|Arabic Numerals, No Motto|Philadelphia|P||95250|70|1|0
Saint-Gaudens|Double Eagle|1914|Arabic Numerals, No Motto|Denver|D||453000|0|1|0
Saint-Gaudens|Double Eagle|1914|Arabic Numerals, No Motto|San Francisco|S||1498000|0|1|0
Saint-Gaudens|Double Eagle|1915|Arabic Numerals, No Motto|Philadelphia|P||152000|50|1|0
Saint-Gaudens|Double Eagle|1915|Arabic Numerals, No Motto|San Francisco|S||567500|0|1|0
